from,to,weight,year,neighbor
FR,BE,12,1984,1
LU,BE,12,1984,1
FI,BE,10,1984,2
PT,BE,10,1984,2
NL,BE,8,1984,1
TR,BE,5,1984,2
DE,BE,4,1984,1
NO,BE,3,1984,2
AT,BE,3,1984,2
ES,BE,2,1984,2
IT,BE,1,1984,2
ES,BE,8,1983,2
GB,BE,4,1983,2
PT,BE,1,1983,2
DK,BE,10,1982,2
ES,BE,10,1982,2
PT,BE,8,1982,2
CY,BE,8,1982,2
YU,BE,7,1982,2
SE,BE,7,1982,2
IL,BE,6,1982,2
TR,BE,6,1982,2
FI,BE,5,1982,2
LU,BE,5,1982,1
NO,BE,5,1982,2
DE,BE,4,1982,1
IE,BE,4,1982,2
AT,BE,4,1982,2
NL,BE,3,1982,1
GB,BE,2,1982,2
CH,BE,2,1982,2
YU,BE,8,1981,2
GR,BE,7,1981,2
TR,BE,7,1981,2
DK,BE,6,1981,2
CY,BE,5,1981,2
GB,BE,3,1981,2
FI,BE,2,1981,2
IL,BE,1,1981,2
AT,BE,1,1981,2
PT,BE,10,1980,2
GR,BE,3,1980,2
GB,BE,1,1980,2
DK,BE,2,1979,2
GB,BE,2,1979,2
DE,BE,1,1979,1
FR,BE,12,1978,1
GR,BE,12,1978,2
GB,BE,12,1978,2
IE,BE,12,1978,2
MC,BE,12,1978,2
CH,BE,10,1978,2
IL,BE,7,1978,2
LU,BE,7,1978,1
NO,BE,7,1978,2
FI,BE,6,1978,2
IT,BE,6,1978,2
NL,BE,5,1978,1
AT,BE,4,1978,2
PT,BE,4,1978,2
SE,BE,4,1978,2
DE,BE,3,1978,1
ES,BE,2,1978,2
NL,BE,12,1977,1
GB,BE,10,1977,2
DE,BE,8,1977,1
PT,BE,7,1977,2
IL,BE,6,1977,2
NO,BE,6,1977,2
GR,BE,5,1977,2
IE,BE,4,1977,2
LU,BE,4,1977,1
SE,BE,4,1977,2
FI,BE,3,1977,2
FI,BE,12,1976,2
IT,BE,8,1976,2
MC,BE,8,1976,2
PT,BE,8,1976,2
GB,BE,7,1976,2
NO,BE,6,1976,2
CH,BE,6,1976,2
FR,BE,5,1976,1
NL,BE,4,1976,1
AT,BE,3,1976,2
IL,BE,1,1976,2
DE,BE,7,1975,1
NL,BE,5,1975,1
YU,BE,3,1975,2
SE,BE,2,1975,2
GB,DK,12,1984,2
NO,DK,12,1984,1
IE,DK,10,1984,2
BE,DK,8,1984,2
FR,DK,8,1984,2
YU,DK,6,1984,2
ES,DK,6,1984,2
DE,DK,5,1984,1
FI,DK,5,1984,2
IT,DK,5,1984,2
SE,DK,5,1984,1
CY,DK,5,1984,2
AT,DK,4,1984,2
LU,DK,3,1984,2
NL,DK,3,1984,2
TR,DK,2,1984,2
PT,DK,1,1984,2
CH,DK,1,1984,2
SE,DK,7,1983,1
ES,DK,4,1983,2
GB,DK,2,1983,2
CY,DK,2,1983,2
TR,DK,1,1983,2
PT,DK,3,1982,2
IE,DK,1,1982,2
SE,DK,1,1982,1
BE,DK,12,1981,2
LU,DK,7,1981,2
GB,DK,5,1981,2
FR,DK,4,1981,2
SE,DK,4,1981,1
ES,DK,3,1981,2
NL,DK,2,1981,2
PT,DK,2,1981,2
DE,DK,1,1981,1
TR,DK,1,1981,2
FI,DK,7,1980,2
CH,DK,6,1980,2
DE,DK,5,1980,1
GR,DK,4,1980,2
MA,DK,2,1980,2
NO,DK,1,1980,1
GR,DK,12,1979,2
IL,DK,12,1979,2
DE,DK,10,1979,1
NL,DK,8,1979,2
BE,DK,7,1979,2
FR,DK,6,1979,2
LU,DK,4,1979,2
ES,DK,4,1979,2
GB,DK,3,1979,2
MC,DK,3,1979,2
AT,DK,3,1979,2
IE,DK,2,1979,2
SE,DK,1,1979,1
CH,DK,1,1979,2
FR,DK,6,1978,2
IL,DK,4,1978,2
AT,DK,2,1978,2
NL,DK,1,1978,2
NO,DE,7,1984,2
BE,DE,6,1984,1
NL,DE,5,1984,1
PT,DE,5,1984,2
FR,DE,4,1984,1
DK,DE,2,1984,1
GB,DE,2,1984,2
IT,DE,2,1984,2
AT,DE,1,1984,1
LU,DE,12,1983,1
FR,DE,10,1983,1
NL,DE,10,1983,1
NO,DE,10,1983,2
PT,DE,8,1983,2
SE,DE,8,1983,2
GB,DE,7,1983,2
AT,DE,7,1983,1
BE,DE,6,1983,1
IT,DE,6,1983,2
FI,DE,4,1983,2
DK,DE,3,1983,1
CH,DE,2,1983,1
GR,DE,1,1983,2
DK,DE,12,1982,1
IE,DE,12,1982,2
IL,DE,12,1982,2
YU,DE,12,1982,2
PT,DE,12,1982,2
CH,DE,12,1982,1
ES,DE,12,1982,2
TR,DE,12,1982,2
CY,DE,12,1982,2
BE,DE,10,1982,1
FI,DE,10,1982,2
NO,DE,10,1982,2
GB,DE,8,1982,2
SE,DE,8,1982,2
NL,DE,6,1982,1
AT,DE,1,1982,1
PT,DE,12,1981,2
SE,DE,12,1981,2
