from,to,weight,year,neighbor
DE,IE,12,1994,2
IS,IE,12,1994,2
HR,IE,12,1994,2
NL,IE,12,1994,2
NO,IE,12,1994,2
PT,IE,12,1994,2
RU,IE,12,1994,2
CH,IE,12,1994,2
BA,IE,10,1994,2
EE,IE,10,1994,2
GB,IE,10,1994,1
LV,IE,10,1994,2
AT,IE,10,1994,2
SE,IE,10,1994,2
ES,IE,10,1994,2
HU,IE,10,1994,2
FR,IE,8,1994,2
PL,IE,8,1994,2
RO,IE,8,1994,2
CY,IE,8,1994,2
FI,IE,7,1994,2
SK,IE,6,1994,2
MT,IE,5,1994,2
EE,PL,12,1994,2
FR,PL,12,1994,2
GB,PL,12,1994,2
LV,PL,12,1994,2
AT,PL,12,1994,2
DE,PL,10,1994,1
CH,PL,10,1994,2
BA,PL,8,1994,2
FI,PL,8,1994,2
HR,PL,8,1994,2
NL,PL,8,1994,2
HU,PL,8,1994,2
IE,PL,7,1994,2
PT,PL,7,1994,2
RO,PL,7,1994,2
IS,PL,6,1994,2
NO,PL,6,1994,2
RU,PL,6,1994,1
SK,PL,4,1994,1
MT,PL,2,1994,2
CY,PL,1,1994,2
RO,DE,12,1994,2
HU,DE,12,1994,2
HR,DE,10,1994,2
PT,DE,10,1994,2
ES,DE,8,1994,2
BA,DE,7,1994,2
GB,DE,7,1994,2
IS,DE,7,1994,2
PL,DE,7,1994,1
RU,DE,7,1994,2
SK,DE,7,1994,2
SE,DE,6,1994,2
CY,DE,6,1994,2
IE,DE,5,1994,2
LV,DE,4,1994,2
NL,DE,4,1994,1
EE,DE,3,1994,2
FI,DE,3,1994,2
AT,DE,2,1994,1
NO,DE,1,1994,2
FI,HU,12,1994,2
IE,HU,12,1994,2
PL,HU,12,1994,2
SE,HU,12,1994,2
IS,HU,10,1994,2
NL,HU,10,1994,2
NO,HU,8,1994,2
AT,HU,8,1994,1
DE,HU,7,1994,2
FR,HU,7,1994,2
HR,HU,5,1994,1
EE,HU,4,1994,2
CH,HU,4,1994,2
BA,HU,3,1994,2
RU,HU,3,1994,2
GB,HU,2,1994,2
RO,HU,2,1994,1
PT,HU,1,1994,2
BA,MT,12,1994,2
IE,MT,10,1994,2
RO,MT,10,1994,2
SK,MT,10,1994,2
EE,MT,7,1994,2
GR,MT,7,1994,2
HR,MT,7,1994,2
LV,MT,7,1994,2
FI,MT,6,1994,2
CH,MT,6,1994,2
PT,MT,4,1994,2
SE,MT,4,1994,2
DE,MT,3,1994,2
CY,MT,2,1994,2
GB,MT,1,1994,2
NL,MT,1,1994,2
CY,NO,10,1994,2
EE,NO,8,1994,2
RU,NO,8,1994,1
NL,NO,7,1994,2
SE,NO,7,1994,1
BA,NO,6,1994,2
ES,NO,5,1994,2
HU,NO,5,1994,2
GB,NO,4,1994,2
RO,NO,4,1994,2
IE,NO,3,1994,2
HR,NO,3,1994,2
DE,NO,2,1994,2
GR,NO,1,1994,2
IS,NO,1,1994,2
LV,NO,1,1994,2
CH,NO,1,1994,2
RU,FR,10,1994,2
DE,FR,8,1994,1
LV,FR,8,1994,2
NO,FR,7,1994,2
AT,FR,7,1994,2
EE,FR,6,1994,2
PL,FR,6,1994,2
PT,FR,6,1994,2
IS,FR,5,1994,2
CY,FR,4,1994,2
SE,FR,3,1994,2
BA,FR,2,1994,2
IE,FR,2,1994,2
ES,PT,12,1994,1
GB,PT,8,1994,2
IE,PT,8,1994,2
IS,PT,8,1994,2
HU,PT,7,1994,2
FR,PT,6,1994,2
FI,PT,5,1994,2
SE,PT,5,1994,2
CH,PT,5,1994,2
RU,PT,4,1994,2
NL,PT,3,1994,2
MT,PT,1,1994,2
PL,PT,1,1994,2
PL,RU,10,1994,1
DE,RU,6,1994,2
LV,RU,6,1994,1
AT,RU,6,1994,2
HU,RU,6,1994,2
GB,RU,5,1994,2
NL,RU,5,1994,2
GR,RU,4,1994,2
IE,RU,4,1994,2
IS,RU,4,1994,2
NO,RU,3,1994,1
RO,RU,3,1994,2
CY,RU,3,1994,2
PT,RU,2,1994,2
EE,RU,1,1994,1
FR,RU,1,1994,2
HR,RU,1,1994,2
PT,GB,8,1994,2
CH,GB,8,1994,2
HR,GB,6,1994,2
EE,GB,5,1994,2
RU,GB,5,1994,2
CY,GB,5,1994,2
BA,GB,4,1994,2
DE,GB,4,1994,2
PL,GB,3,1994,2
SK,GB,3,1994,2
ES,GB,3,1994,2
HU,GB,3,1994,2
NL,GB,2,1994,2
NO,GB,2,1994,2
IE,GB,1,1994,1
AT,GB,1,1994,2
GR,CY,12,1994,2
FI,CY,10,1994,2
NO,CY,5,1994,2
PL,CY,5,1994,2
PT,CY,5,1994,2
ES,CY,4,1994,2
FR,CY,3,1994,2
IS,CY,3,1994,2
RU,CY,2,1994,2
CH,CY,2,1994,2
SE,IS,8,1994,2
GB,IS,6,1994,2
IE,IS,6,1994,2
ES,IS,6,1994,2
FR,IS,4,1994,2
PL,IS,4,1994,2
LV,IS,3,1994,2
AT,IS,3,1994,2
PT,IS,3,1994,2
CH,IS,3,1994,2
FI,IS,1,1994,2
RU,IS,1,1994,2
SK,IS,1,1994,2
NO,SE,10,1994,1
CH,SE,7,1994,2
NL,SE,6,1994,2
DE,SE,5,1994,2
LV,SE,5,1994,2
AT,SE,5,1994,2
MT,SE,3,1994,2
EE,SE,2,1994,2
IS,SE,2,1994,2
HU,SE,2,1994,2
ES,SE,1,1994,2
CY,GR,12,1994,2
RO,GR,6,1994,2
SK,GR,5,1994,2
FI,GR,4,1994,2
MT,GR,4,1994,2
NO,GR,4,1994,2
HU,GR,4,1994,2
PL,GR,2,1994,2
SE,GR,2,1994,2
DE,GR,1,1994,2
FR,BA,10,1994,2
SK,BA,8,1994,2
MT,BA,7,1994,2
ES,BA,7,1994,2
HR,BA,4,1994,1
FI,BA,2,1994,2
HU,BA,1,1994,2
SK,HR,12,1994,2
MT,HR,10,1994,2
GR,HR,5,1994,2
CY,AT,7,1994,2
BA,AT,5,1994,2
GB,AT,3,1994,2
HR,AT,2,1994,2
RO,AT,1,1994,2
SE,AT,1,1994,2
GR,ES,8,1994,2
RO,ES,5,1994,2
FR,ES,2,1994,1
SK,ES,2,1994,2
MT,CH,8,1994,2
FR,CH,5,1994,1
ES,CH,2,1994,2
MT,SK,12,1994,2
GR,SK,3,1994,2
GR,RO,6,1994,2
MT,RO,6,1994,2
LV,RO,2,1994,2
GR,FI,10,1994,2
BA,FI,1,1994,2
AT,NL,4,1994,2
GR,EE,2,1994,2
GB,IE,12,1993,1
IT,IE,12,1993,2
MT,IE,12,1993,2
NO,IE,12,1993,2
SE,IE,12,1993,2
CH,IE,12,1993,2
SI,IE,12,1993,2
FR,IE,10,1993,2
NL,IE,10,1993,2
ES,IE,10,1993,2
BA,IE,8,1993,2
AT,IE,8,1993,2
LU,IE,7,1993,2
CY,IE,7,1993,2
DK,IE,6,1993,2
GR,IE,6,1993,2
HR,IE,6,1993,2
PT,IE,6,1993,2
DE,IE,5,1993,2
IL,IE,5,1993,2
FI,IE,3,1993,2
IS,IE,3,1993,2
BE,IE,2,1993,2
TR,IE,1,1993,2
BE,GB,12,1993,2
IS,GB,12,1993,2
IL,GB,12,1993,2
AT,GB,12,1993,2
HR,GB,10,1993,2
SE,GB,10,1993,2
SI,GB,10,1993,2
DK,GB,8,1993,2
IE,GB,8,1993,1
LU,GB,8,1993,2
NO,GB,8,1993,2
TR,GB,8,1993,2
PT,GB,7,1993,2
DE,GB,6,1993,2
FR,GB,6,1993,2
FI,GB,5,1993,2
CH,GB,5,1993,2
ES,GB,5,1993,2
NL,GB,4,1993,2
CY,GB,4,1993,2
BA,GB,3,1993,2
IT,GB,1,1993,2
DE,CH,12,1993,1
FR,CH,12,1993,1
LU,CH,12,1993,2
DK,CH,10,1993,2
GB,CH,10,1993,2
IT,CH,10,1993,1
BE,CH,8,1993,2
NL,CH,8,1993,2
SI,CH,8,1993,2
GR,CH,7,1993,2
IE,CH,7,1993,2
AT,CH,6,1993,1
SE,CH,6,1993,2
CY,CH,6,1993,2
MT,CH,5,1993,2
FI,CH,4,1993,2
IS,CH,4,1993,2
IL,CH,4,1993,2
NO,CH,3,1993,2
ES,CH,3,1993,2
HR,CH,2,1993,2
PT,CH,1,1993,2
DK,FR,12,1993,2
PT,FR,12,1993,2
IE,FR,10,1993,2
CY,FR,10,1993,2
IS,FR,8,1993,2
IL,FR,8,1993,2
HR,FR,8,1993,2
SE,FR,8,1993,2
AT,FR,7,1993,2
TR,FR,7,1993,2
LU,FR,6,1993,1
NO,FR,6,1993,2
GB,FR,4,1993,2
CH,FR,4,1993,1
SI,FR,4,1993,2
GR,FR,3,1993,2
NL,FR,3,1993,2
FI,FR,1,1993,2
FI,NO,12,1993,1
GR,NO,12,1993,2
HR,NO,12,1993,2
DE,NO,10,1993,2
IS,NO,10,1993,2
CH,NO,10,1993,2
TR,NO,10,1993,2
PT,NO,8,1993,2
CY,NO,8,1993,2
BA,NO,7,1993,2
BE,NO,6,1993,2
NL,NO,6,1993,2
IE,NO,5,1993,2
SI,NO,3,1993,2
LU,NO,1,1993,2
IE,NL,12,1993,2
BA,NL,10,1993,2
NO,NL,10,1993,2
BE,NL,7,1993,1
DE,NL,7,1993,1
SI,NL,7,1993,2
ES,NL,7,1993,2
IS,NL,6,1993,2
IT,NL,6,1993,2
TR,NL,6,1993,2
SE,NL,5,1993,2
HR,NL,3,1993,2
MT,NL,3,1993,2
AT,NL,3,1993,2
BE,SE,10,1993,2
IL,SE,10,1993,2
AT,SE,10,1993,2
DE,SE,8,1993,2
CH,SE,8,1993,2
DK,SE,7,1993,1
FI,SE,7,1993,1
GB,SE,7,1993,2
IS,SE,7,1993,2
SI,SE,6,1993,2
LU,SE,5,1993,2
PT,SE,4,1993,2
IT,MT,7,1993,2
CH,MT,7,1993,2
GB,MT,6,1993,2
DK,MT,5,1993,2
GR,MT,5,1993,2
TR,MT,5,1993,2
BA,MT,4,1993,2
DE,MT,4,1993,2
HR,MT,4,1993,2
AT,MT,4,1993,2
SE,MT,4,1993,2
ES,MT,4,1993,2
IL,MT,3,1993,2
FR,MT,2,1993,2
IE,MT,2,1993,2
PT,MT,2,1993,2
CY,MT,1,1993,2
CY,GR,12,1993,2
ES,GR,8,1993,2
FR,GR,7,1993,2
IL,GR,7,1993,2
NO,GR,7,1993,2
FI,GR,6,1993,2
MT,GR,6,1993,2
NL,GR,5,1993,2
DE,GR,2,1993,2
IT,GR,2,1993,2
TR,GR,2,1993,1
NL,PT,12,1993,2
ES,PT,12,1993,1
FR,PT,8,1993,2
NO,PT,5,1993,2
AT,PT,5,1993,2
LU,PT,4,1993,2
CY,PT,3,1993,2
FI,PT,2,1993,2
GR,PT,2,1993,2
IS,PT,2,1993,2
SE,PT,2,1993,2
DK,PT,1,1993,2
DE,PT,1,1993,2
GB,PT,1,1993,2
FI,ES,10,1993,2
MT,ES,8,1993,2
HR,ES,7,1993,2
BA,ES,6,1993,2
CH,ES,6,1993,2
BE,ES,5,1993,2
IT,ES,5,1993,2
CY,ES,5,1993,2
AT,ES,2,1993,2
SI,ES,2,1993,2
IL,ES,1,1993,2
NO,ES,1,1993,2
LU,IT,10,1993,2
PT,IT,10,1993,2
FI,IT,8,1993,2
MT,IT,7,1993,2
FR,IT,5,1993,1
NL,IT,2,1993,2
ES,IT,2,1993,2
CH,IT,1,1993,1
NL,IS,7,1993,2
SE,IS,7,1993,2
HR,IS,5,1993,2
SI,IS,5,1993,2
DK,IS,4,1993,2
GR,IS,4,1993,2
GB,IS,2,1993,2
IL,IS,2,1993,2
NO,IS,2,1993,2
CY,IS,2,1993,2
IE,IS,1,1993,2
AT,IS,1,1993,2
BA,AT,12,1993,2
IE,AT,6,1993,2
TR,AT,4,1993,2
BE,AT,3,1993,2
FR,AT,3,1993,2
GB,AT,3,1993,2
GR,AT,1,1993,2
GB,HR,8,1993,2
IL,HR,6,1993,2
PT,HR,5,1993,2
BE,HR,4,1993,2
NO,HR,4,1993,2
CH,HR,3,1993,2
ES,HR,1,1993,2
TR,BA,12,1993,2
FR,BA,4,1993,2
MT,BA,4,1993,2
IE,BA,3,1993,2
IT,BA,3,1993,2
BE,BA,1,1993,2
GR,FI,8,1993,2
IS,FI,5,1993,2
TR,FI,3,1993,2
LU,FI,2,1993,2
MT,FI,2,1993,2
IT,DE,8,1993,2
IE,DE,4,1993,2
DK,DE,3,1993,1
CH,DE,2,1993,1
NL,DE,1,1993,1
GR,CY,10,1993,2
GB,CY,5,1993,2
