from,to,weight,year,neighbor
MK,AL,12,2004,1
CH,AL,10,2004,2
DE,AL,8,2004,2
GR,AL,8,2004,1
MT,AL,8,2004,2
NO,AL,8,2004,2
DK,AL,7,2004,2
HR,AL,7,2004,2
AT,AL,7,2004,2
SE,AL,7,2004,2
AD,AL,6,2004,2
BA,AL,6,2004,2
FI,AL,6,2004,2
GB,AL,6,2004,2
RO,AL,6,2004,2
CS,AL,6,2004,1
TR,AL,6,2004,2
BE,AL,5,2004,2
IE,AL,5,2004,2
LV,AL,5,2004,2
NL,AL,5,2004,2
SI,AL,5,2004,2
IS,AL,4,2004,2
MC,AL,3,2004,2
PT,AL,2,2004,2
ES,AL,2,2004,2
EE,AL,1,2004,2
FR,AL,1,2004,2
UA,AL,1,2004,2
CY,AL,1,2004,2
NL,BE,5,2004,1
AD,BE,1,2004,2
CY,BE,1,2004,2
DK,BA,12,2004,2
NO,BA,12,2004,2
AL,BA,10,2004,2
HR,BA,10,2004,1
AT,BA,10,2004,2
SE,BA,10,2004,2
SI,BA,10,2004,2
TR,BA,10,2004,2
NL,BA,8,2004,2
CH,BA,8,2004,2
DE,BA,7,2004,2
IE,BA,7,2004,2
CS,BA,7,2004,1
MK,BA,5,2004,2
GB,BA,4,2004,2
MC,BA,4,2004,2
BE,BA,3,2004,2
ES,DE,12,2004,2
AT,DE,10,2004,1
CH,DE,10,2004,1
PT,DE,8,2004,2
FR,DE,7,2004,1
MC,DE,7,2004,2
PL,DE,6,2004,1
TR,DE,5,2004,2
GB,DE,4,2004,2
IE,DE,4,2004,2
RO,DE,4,2004,2
BA,DE,3,2004,2
NL,DE,3,2004,1
SI,DE,3,2004,2
AL,DE,2,2004,2
EE,DE,2,2004,2
HR,DE,1,2004,2
LT,DE,1,2004,2
NO,DE,1,2004,2
MC,FR,12,2004,1
BE,FR,10,2004,1
AD,FR,7,2004,1
RU,FR,4,2004,2
ES,FR,4,2004,1
PT,FR,2,2004,2
AL,FR,1,2004,2
AL,GR,12,2004,1
GB,GR,12,2004,2
IL,GR,12,2004,2
MT,GR,12,2004,2
RO,GR,12,2004,2
TR,GR,12,2004,1
CY,GR,12,2004,2
BE,GR,10,2004,2
DE,GR,10,2004,2
CS,GR,10,2004,2
UA,GR,10,2004,2
AD,GR,8,2004,2
BY,GR,8,2004,2
LT,GR,8,2004,2
PT,GR,8,2004,2
MK,GR,7,2004,1
PL,GR,7,2004,2
RU,GR,7,2004,2
ES,GR,7,2004,2
FR,GR,6,2004,2
IS,GR,6,2004,2
HR,GR,6,2004,2
LV,GR,6,2004,2
NL,GR,6,2004,2
BA,GR,5,2004,2
FI,GR,5,2004,2
NO,GR,5,2004,2
AT,GR,5,2004,2
EE,GR,4,2004,2
MC,GR,4,2004,2
SE,GR,4,2004,2
