from,to,weight,year,neighbor
FR,AM,12,2014,2
GE,AM,12,2014,1
AT,AM,12,2014,2
BY,AM,10,2014,2
LV,AM,10,2014,2
ME,AM,10,2014,2
UA,AM,10,2014,2
MK,AM,8,2014,2
RU,AM,8,2014,2
GR,AM,7,2014,2
NL,AM,7,2014,2
RO,AM,7,2014,2
HU,AM,7,2014,2
DE,AM,6,2014,2
IS,AM,6,2014,2
MT,AM,6,2014,2
SM,AM,6,2014,2
EE,AM,5,2014,2
SE,AM,5,2014,2
FI,AM,4,2014,2
PT,AM,4,2014,2
ES,AM,4,2014,2
MD,AM,3,2014,2
DK,AM,2,2014,2
IS,AM,2,2014,2
PL,AM,1,2014,2
BE,AT,12,2014,2
FI,AT,12,2014,2
GR,AT,12,2014,2
GB,AT,12,2014,2
IR,AT,12,2014,2
IL,AT,12,2014,2
IT,AT,12,2014,1
NL,AT,12,2014,2
PT,AT,12,2014,2
SE,AT,12,2014,2
CH,AT,12,2014,1
SI,AT,12,2014,1
ES,AT,12,2014,2
FR,AT,10,2014,2
GE,AT,10,2014,2
IS,AT,10,2014,2
LT,AT,10,2014,2
MT,AT,10,2014,2
NO,AT,10,2014,2
HU,AT,10,2014,1
DK,AT,8,2014,2
RO,AT,8,2014,2
UA,AT,8,2014,2
DE,AT,7,2014,1
MD,AT,7,2014,2
LV,AT,6,2014,2
AL,AT,5,2014,2
RU,AT,5,2014,2
EE,AT,4,2014,2
MK,AT,3,2014,2
ME,AT,2,2014,2
AZ,AT,1,2014,2
RU,BY,12,2014,1
AM,BY,8,2014,2
AZ,BY,7,2014,2
UA,BY,6,2014,1
MD,BY,5,2014,2
LT,BY,3,2014,1
IL,BY,1,2014,2
ME,BY,1,2014,2
PL,CH,10,2014,2
PT,CH,7,2014,2
RO,CH,6,2014,2
AM,CH,5,2014,2
IE,CH,5,2014,2
ME,CH,5,2014,2
GR,CH,4,2014,2
DE,CH,3,2014,1
MT,CH,3,2014,2
NL,CH,3,2014,2
AT,CH,3,2014,1
SI,CH,3,2014,2
IT,CH,2,2014,1
LT,CH,2,2014,2
GE,CH,1,2014,2
GB,CH,1,2014,2
HU,CH,1,2014,2
PL,DE,8,2014,1
CH,DE,7,2014,1
AM,DE,6,2014,2
GE,DE,5,2014,2
UA,DE,5,2014,2
AL,DE,4,2014,2
RO,DE,2,2014,2
SI,DE,2,2014,2
DE,DK,8,2014,1
IS,DK,8,2014,2
SE,DK,8,2014,1
BE,DK,6,2014,2
FI,DK,6,2014,2
PL,DK,6,2014,2
SI,DK,6,2014,2
PT,DK,5,2014,2
RO,DK,4,2014,2
FR,DK,3,2014,2
GB,DK,3,2014,2
CH,DK,3,2014,2
ES,DK,3,2014,2
AM,DK,1,2014,2
LT,DK,1,2014,2
NL,DK,1,2014,2
NO,DK,1,2014,1
SM,DK,1,2014,2
AL,ES,12,2014,2
CH,ES,8,2014,2
FR,ES,6,2014,1
IE,ES,6,2014,2
GB,ES,5,2014,2
NO,ES,5,2014,2
RO,ES,5,2014,2
IL,ES,4,2014,2
LV,ES,4,2014,2
LT,ES,4,2014,2
SI,ES,4,2014,2
AM,ES,2,2014,2
BE,ES,2,2014,2
EE,ES,2,2014,2
PL,ES,2,2014,2
UA,ES,2,2014,2
DE,ES,1,2014,2
NO,FI,7,2014,1
EE,FI,6,2014,2
GB,FI,6,2014,2
IT,FI,6,2014,2
SE,FI,6,2014,1
HU,FI,6,2014,2
IS,FI,5,2014,2
DK,FI,4,2014,2
DE,FI,4,2014,2
AT,FI,4,2014,2
CH,FI,4,2014,2
BE,FI,3,2014,2
LV,FI,3,2014,2
PL,FI,3,2014,2
SM,FI,3,2014,2
NL,FI,2,2014,2
FI,FR,1,2014,2
SE,FR,1,2014,2
IE,GB,8,2014,1
DK,GB,7,2014,2
SM,GB,5,2014,2
ES,GB,5,2014,2
IS,GB,4,2014,2
MT,GB,4,2014,2
GE,GB,3,2014,2
NO,GB,3,2014,2
BE,GB,1,2014,2
AM,GR,7,2014,2
BY,GR,6,2014,2
AZ,GR,4,2014,2
GE,GR,4,2014,2
RU,GR,4,2014,2
IT,GR,3,2014,2
AL,GR,2,2014,1
GB,GR,2,2014,2
IL,GR,2,2014,2
MT,GR,1,2014,2
ME,HU,12,2014,2
MK,HU,10,2014,2
RO,HU,10,2014,1
AL,HU,8,2014,2
AZ,HU,8,2014,2
BE,HU,7,2014,2
EE,HU,7,2014,2
IL,HU,7,2014,2
AT,HU,7,2014,1
SM,HU,7,2014,2
SE,HU,7,2014,2
GR,HU,6,2014,2
IS,HU,6,2014,2
PT,HU,6,2014,2
RU,HU,6,2014,2
BY,HU,5,2014,2
FI,HU,5,2014,2
MD,HU,4,2014,2
NL,HU,4,2014,2
DK,HU,3,2014,2
UA,HU,3,2014,1
ES,HU,2,2014,2
IE,HU,1,2014,2
LV,HU,1,2014,2
CH,HU,1,2014,2
SM,IS,8,2014,2
FR,IS,7,2014,2
IT,IS,7,2014,2
NL,IS,6,2014,2
NO,IS,6,2014,2
DK,IS,5,2014,2
HU,IS,5,2014,2
GB,IS,4,2014,2
SE,IS,4,2014,2
DE,IS,2,2014,2
AT,IS,2,2014,2
RU,IS,1,2014,2
ES,IS,1,2014,2
MT,IT,12,2014,2
AL,IT,10,2014,2
ME,IT,6,2014,2
MK,IT,2,2014,2
CH,IT,2,2014,1
FR,IT,1,2014,1
AM,ME,12,2014,2
MK,ME,12,2014,2
SI,ME,7,2014,2
AL,ME,6,2014,1
GB,MT,10,2014,2
AZ,MT,5,2014,2
NL,MT,5,2014,2
SM,MT,4,2014,2
FI,MT,3,2014,2
IE,MT,3,2014,2
AL,MT,1,2014,2
IT,MT,1,2014,2
DE,NL,12,2014,1
EE,NL,12,2014,2
IS,NL,12,2014,2
LV,NL,12,2014,2
LT,NL,12,2014,2
NO,NL,12,2014,2
PL,NL,12,2014,2
HU,NL,12,2014,2
DK,NL,10,2014,2
IE,NL,10,2014,2
AT,NL,10,2014,2
PT,NL,10,2014,2
SE,NL,10,2014,2
CH,NL,10,2014,2
SI,NL,10,2014,2
BE,NL,8,2014,1
FI,NL,8,2014,2
FR,NL,8,2014,2
GR,NL,8,2014,2
GB,NL,8,2014,2
MK,NL,7,2014,2
ES,NL,7,2014,2
AM,NL,4,2014,2
IT,NL,4,2014,2
RO,NL,3,2014,2
RU,NL,3,2014,2
BY,NL,2,2014,2
SM,NL,2,2014,2
NL,NO,10,2014,2
LT,NO,8,2014,2
FI,NO,7,2014,1
IE,NO,7,2014,2
PL,NO,7,2014,2
DK,NO,6,2014,1
DE,NO,5,2014,2
LV,NO,5,2014,2
CH,NO,5,2014,2
SI,NO,5,2014,2
BY,NO,4,2014,2
EE,NO,3,2014,2
GR,NO,3,2014,2
PT,NO,3,2014,2
SE,NO,3,2014,1
FR,NO,2,2014,2
MT,NO,2,2014,2
IS,NO,1,2014,2
AT,NO,1,2014,2
RO,NO,1,2014,2
DE,PL,10,2014,1
IT,PL,8,2014,2
BY,PL,7,2014,1
UA,PL,7,2014,1
FR,PL,5,2014,2
MK,PL,5,2014,2
ME,PL,4,2014,2
IS,PL,3,2014,2
HU,PL,3,2014,2
AZ,PL,2,2014,2
MD,PL,2,2014,2
NO,PL,2,2014,2
SE,PL,2,2014,2
GR,PL,1,2014,2
SI,PL,1,2014,2
AZ,RU,12,2014,1
BY,RU,12,2014,1
AM,RU,10,2014,2
GR,RU,10,2014,2
GE,RU,8,2014,1
MD,RU,8,2014,2
LT,RU,6,2014,1
MK,RU,6,2014,2
MT,RU,5,2014,2
UA,RU,4,2014,1
IL,RU,3,2014,2
LV,RU,2,2014,1
PT,RU,2,2014,2
EE,RU,1,2014,1
DK,SE,12,2014,1
RO,SE,12,2014,2
UA,SE,12,2014,2
BE,SE,10,2014,2
EE,SE,10,2014,2
FI,SE,10,2014,1
IL,SE,10,2014,2
SM,SE,10,2014,2
ES,SE,10,2014,2
LV,SE,8,2014,2
NL,SE,8,2014,2
NO,SE,8,2014,1
PT,SE,8,2014,2
SI,SE,8,2014,2
HU,SE,8,2014,2
AL,SE,7,2014,2
GB,SE,7,2014,2
IS,SE,7,2014,2
LT,SE,7,2014,2
ML,SE,7,2014,2
MD,SE,6,2014,2
AT,SE,6,2014,2
CH,SE,6,2014,2
FR,SE,4,2014,2
IE,SE,4,2014,2
PL,SE,4,2014,2
ME,SE,3,2014,2
GE,SE,2,2014,2
GR,SE,2,2014,2
RU,SE,2,2014,2
ME,SI,8,2014,2
MK,SI,1,2014,2
HU,SM,4,2014,2
AL,SM,3,2014,2
AM,SM,3,2014,2
AZ,SM,3,2014,2
MD,SM,1,2014,2
GE,AM,10,2013,1
BG,AM,8,2013,2
FR,AM,7,2013,2
UA,AM,6,2013,2
HU,AM,3,2013,2
BY,AM,2,2013,2
RU,AM,2,2013,2
MT,AM,1,2013,2
MD,AM,1,2013,2
SM,AM,1,2013,2
NL,BE,12,2013,1
RU,BE,8,2013,2
SE,BE,7,2013,2
DK,BE,5,2013,2
FRA,BE,5,2013,2
SM,BE,5,2013,2
IE,BE,4,2013,2
HU,BE,4,2013,2
FI,BE,3,2013,2
GB,BE,3,2013,2
NO,BE,3,2013,2
AT,BE,3,2013,2
RS,BE,3,2013,2
EE,BE,2,2013,2
LV,BE,2,2013,2
SI,BE,2,2013,2
UA,BY,12,2013,1
AZ,BY,7,2013,2
AM,BY,5,2013,2
GE,BY,5,2013,2
MK,BY,5,2013,2
MD,BY,4,2013,2
IL,BY,3,2013,2
ME,BY,3,2013,2
MT,BY,2,2013,2
GR,BY,1,2013,2
LT,BY,1,2013,1
AT,DE,6,2013,1
IL,DE,5,2013,2
AL,DE,3,2013,2
ES,DE,3,2013,2
CH,DE,1,2013,1
